name,region,country,longitude,latitude,time,temp_c,is_day,condition,wind_kph,wind_degree,wind_dir,air_pressure,precipitation,relative_humidity,cloud,feelslike_c,will_it_rain,chance_of_rain
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 00:00,25.0,0,Patchy rain possible,12.2,61,ENE,1011.3,0.03,76.3,83,27.5,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 01:00,25.0,0,Patchy rain possible,11.5,55,NE,1011.15,0.02,73.5,82,27.4,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 02:00,24.9,0,Patchy rain possible,10.8,48,NE,1010.99,0.01,70.7,80,27.3,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 03:00,24.9,0,Patchy rain possible,10.1,41,NE,1010.84,0.0,67.9,79,27.2,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 04:00,24.8,0,Patchy rain possible,10.9,42,NE,1010.0,0.02,66.9,82,27.1,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 05:00,24.7,0,Patchy rain possible,11.8,43,NE,1009.16,0.04,65.9,84,27.0,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 06:00,24.6,0,Patchy rain possible,12.6,43,NE,1008.32,0.06,64.9,87,26.9,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 07:00,25.7,1,Patchy rain possible,14.3,50,NE,1008.4,0.15,66.4,74,28.3,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 08:00,26.8,1,Partly cloudy,16.0,56,ENE,1008.48,0.25,67.9,60,29.7,0,1
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 09:00,27.9,1,Partly cloudy,17.6,62,ENE,1008.55,0.34,69.4,47,31.1,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 10:00,29.1,1,Partly cloudy,17.8,63,ENE,1009.53,0.3,73.6,34,33.6,0,1
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 11:00,30.3,1,Sunny,17.9,63,ENE,1010.5,0.27,77.8,20,36.1,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 12:00,31.5,1,Sunny,18.0,64,ENE,1011.47,0.23,82.0,7,38.6,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 13:00,30.6,1,Sunny,16.0,61,ENE,1011.48,0.38,82.6,11,36.5,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 14:00,29.7,1,Sunny,13.9,58,ENE,1011.49,0.53,83.2,14,34.3,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 15:00,28.8,1,Sunny,11.9,55,NE,1011.5,0.67,83.8,18,32.2,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 16:00,28.1,1,Sunny,10.3,52,NE,1011.0,0.6,84.5,20,31.2,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 17:00,27.5,1,Sunny,8.8,50,NE,1010.5,0.52,85.2,22,30.2,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 18:00,26.8,0,Clear,7.2,47,NE,1010.0,0.45,85.9,24,29.2,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 19:00,26.5,0,Clear,8.5,51,NE,1009.96,0.35,85.9,44,28.8,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 20:00,26.1,0,Patchy rain possible,9.8,55,NE,1009.91,0.25,85.9,64,28.4,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 21:00,25.8,0,Patchy rain possible,11.2,59,ENE,1009.87,0.15,85.9,84,28.0,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 22:00,25.6,0,Patchy rain possible,12.2,56,ENE,1010.41,0.1,82.9,82,27.8,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-20 23:00,25.5,0,Patchy rain possible,13.3,52,NE,1010.94,0.05,79.9,79,27.7,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 00:00,25.3,0,Patchy rain possible,14.4,49,NE,1011.48,0.0,76.9,77,27.5,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 01:00,25.1,0,Patchy rain possible,12.7,40,NE,1011.29,0.0,75.5,73,27.2,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 02:00,24.8,0,Light rain shower,11.0,31,NNE,1011.11,0.0,74.1,69,26.9,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 03:00,24.6,0,Light rain shower,9.4,22,NNE,1010.92,0.0,72.7,65,26.6,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 04:00,24.7,0,Light rain shower,8.3,23,NNE,1010.26,0.01,73.03,61,26.6,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 05:00,24.7,0,Light rain shower,7.2,24,NNE,1009.61,0.02,73.37,56,26.7,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 06:00,24.8,0,Light rain shower,6.1,26,NNE,1008.95,0.03,73.7,52,26.7,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 07:00,25.6,1,Light rain shower,8.2,40,NE,1009.19,0.12,75.5,55,27.6,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 08:00,26.3,1,Light rain shower,10.2,54,NE,1009.44,0.22,77.3,58,28.6,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 09:00,27.1,1,Light rain shower,12.2,68,ENE,1009.68,0.31,79.1,61,29.5,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 10:00,27.8,1,Light rain shower,15.0,65,ENE,1010.33,0.44,82.57,66,30.7,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 11:00,28.6,1,Patchy rain possible,17.8,63,ENE,1010.99,0.56,86.03,72,31.8,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 12:00,29.3,1,Patchy rain possible,20.5,60,ENE,1011.65,0.69,89.5,77,33.0,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 13:00,28.8,1,Patchy rain possible,20.6,61,ENE,1011.86,0.67,88.97,79,32.3,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 14:00,28.2,1,Patchy rain possible,20.8,62,ENE,1012.07,0.66,88.43,82,31.6,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 15:00,27.7,1,Patchy rain possible,20.9,62,ENE,1012.28,0.64,87.9,84,30.9,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 16:00,27.3,1,Patchy rain possible,19.4,63,ENE,1011.68,0.5,88.43,71,30.4,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 17:00,26.9,1,Partly cloudy,18.0,63,ENE,1011.08,0.36,88.97,59,29.8,0,1
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 18:00,26.5,0,Partly cloudy,16.6,63,ENE,1010.48,0.22,89.5,46,29.3,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 19:00,26.3,0,Partly cloudy,16.9,59,ENE,1010.55,0.23,89.43,59,28.9,0,1
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 20:00,26.0,0,Patchy rain possible,17.3,54,NE,1010.62,0.24,89.37,73,28.6,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 21:00,25.8,0,Patchy rain possible,17.6,50,NE,1010.69,0.25,89.3,86,28.2,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 22:00,25.4,0,Patchy rain possible,17.3,49,NE,1011.3,0.2,86.7,80,27.7,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-21 23:00,24.9,0,Light rain shower,16.9,49,NE,1011.92,0.16,84.1,73,27.3,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 00:00,24.5,0,Light rain shower,16.6,48,NE,1012.53,0.11,81.5,67,26.8,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 01:00,24.5,0,Light rain shower,16.6,49,NE,1012.61,0.22,81.47,65,26.8,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 02:00,24.6,0,Light rain shower,16.6,49,NE,1012.68,0.33,81.43,62,26.9,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 03:00,24.6,0,Light rain shower,16.6,50,NE,1012.75,0.43,81.4,60,26.9,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 04:00,24.6,0,Light rain shower,16.8,50,NE,1012.27,0.35,76.83,67,26.9,1,80
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 05:00,24.6,0,Patchy rain possible,17.0,51,NE,1011.8,0.26,72.27,73,26.9,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 06:00,24.6,0,Patchy rain possible,17.3,51,NE,1011.32,0.18,67.7,80,26.9,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 07:00,25.2,1,Patchy rain possible,18.0,57,ENE,1011.35,0.21,72.97,79,27.6,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 08:00,25.9,1,Patchy rain possible,18.7,63,ENE,1011.38,0.24,78.23,77,28.4,0,21
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 09:00,26.5,1,Patchy rain possible,19.4,69,ENE,1011.42,0.27,83.5,76,29.1,0,0
Cebu,Cebu City,Philippines,123.89,10.31,2022-02-22 10:00,26.9,1,Patchy rain possible,19.4,68,ENE,1012.17,0.53,85.67,75,29.7,0,21
