name,region,country,longitude,latitude,time,temp_c,is_day,condition,wind_kph,wind_degree,wind_dir,air_pressure,precipitation,relative_humidity,cloud,feelslike_c,will_it_rain,chance_of_rain
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 00:00,25.8,0,Clear,16.6,10,N,1010.38,0.0,79.2,9,28.4,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 01:00,25.7,0,Clear,16.6,13,NNE,1010.22,0.0,73.67,10,28.2,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 02:00,25.5,0,Clear,16.6,15,NNE,1010.06,0.0,68.13,12,28.0,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 03:00,25.4,0,Clear,16.6,17,NNE,1009.89,0.0,62.6,14,27.8,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 04:00,25.2,0,Clear,16.6,17,NNE,1008.97,0.0,59.87,20,27.6,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 05:00,25.1,0,Partly cloudy,16.6,17,NNE,1008.04,0.0,57.13,26,27.5,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 06:00,24.9,0,Partly cloudy,16.6,17,NNE,1007.11,0.0,54.4,32,27.3,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 07:00,26.0,1,Partly cloudy,18.7,24,NNE,1007.29,0.0,56.63,29,28.7,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 08:00,27.2,1,Sunny,20.9,30,NNE,1007.48,0.0,58.87,25,30.0,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 09:00,28.3,1,Sunny,23.0,37,NE,1007.66,0.0,61.1,22,31.4,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 10:00,29.5,1,Sunny,23.8,38,NE,1008.55,0.17,64.5,21,33.1,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 11:00,30.6,1,Sunny,24.5,39,NE,1009.44,0.35,67.9,20,34.9,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 12:00,31.8,1,Sunny,25.2,40,NE,1010.32,0.52,71.3,19,36.6,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 13:00,31.5,1,Sunny,25.4,39,NE,1010.53,0.4,73.67,21,35.9,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 14:00,31.1,1,Partly cloudy,25.7,37,NE,1010.74,0.28,76.03,23,35.3,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 15:00,30.8,1,Partly cloudy,25.9,36,NE,1010.95,0.16,78.4,26,34.6,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 16:00,29.9,1,Partly cloudy,23.9,35,NE,1010.46,0.13,80.27,24,33.4,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 17:00,28.9,1,Sunny,21.8,34,NE,1009.97,0.1,82.13,23,32.1,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 18:00,28.0,0,Clear,19.8,32,NNE,1009.48,0.08,84.0,21,30.9,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 19:00,27.6,0,Clear,18.4,28,NNE,1009.36,0.05,83.67,24,30.4,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 20:00,27.3,0,Partly cloudy,16.9,24,NNE,1009.23,0.03,83.33,27,30.0,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 21:00,26.9,0,Partly cloudy,15.5,20,NNE,1009.11,0.0,83.0,31,29.5,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 22:00,26.4,0,Partly cloudy,15.7,16,NNE,1009.55,0.0,81.6,32,29.0,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-20 23:00,26.0,0,Partly cloudy,16.0,13,NNE,1009.99,0.0,80.2,34,28.4,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 00:00,25.5,0,Partly cloudy,16.2,10,N,1010.44,0.0,78.8,36,27.9,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 01:00,25.3,0,Partly cloudy,16.4,11,NNE,1010.38,0.0,76.27,53,27.6,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 02:00,25.1,0,Patchy rain possible,16.7,13,NNE,1010.32,0.0,73.73,71,27.4,0,21
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 03:00,24.9,0,Patchy rain possible,16.9,14,NNE,1010.26,0.0,71.2,89,27.1,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 04:00,24.9,0,Patchy rain possible,16.3,15,NNE,1009.5,0.01,70.43,71,27.0,0,21
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 05:00,24.8,0,Partly cloudy,15.7,16,NNE,1008.74,0.03,69.67,54,27.0,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 06:00,24.8,0,Partly cloudy,15.1,18,NNE,1007.98,0.04,68.9,36,26.9,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 07:00,25.8,1,Partly cloudy,18.1,22,NNE,1008.19,0.06,71.2,39,28.0,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 08:00,26.7,1,Partly cloudy,21.1,26,NNE,1008.39,0.08,73.5,42,29.2,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 09:00,27.7,1,Partly cloudy,24.1,31,NNE,1008.59,0.1,75.8,46,30.3,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 10:00,28.7,1,Partly cloudy,25.9,32,NNE,1009.26,0.06,76.53,40,31.7,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 11:00,29.8,1,Partly cloudy,27.7,34,NE,1009.93,0.03,77.27,34,33.0,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 12:00,30.8,1,Partly cloudy,29.5,35,NE,1010.6,0.0,78.0,28,34.4,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 13:00,30.1,1,Partly cloudy,28.9,34,NE,1010.96,0.02,79.17,30,33.5,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 14:00,29.3,1,Partly cloudy,28.3,33,NNE,1011.33,0.04,80.33,33,32.5,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 15:00,28.6,1,Partly cloudy,27.7,32,NNE,1011.7,0.06,81.5,35,31.6,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 16:00,28.4,1,Partly cloudy,26.0,33,NNE,1011.02,0.09,83.03,27,31.5,0,1
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 17:00,28.1,1,Sunny,24.4,35,NE,1010.34,0.12,84.57,18,31.3,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 18:00,27.9,0,Clear,22.7,36,NE,1009.66,0.16,86.1,9,31.2,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 19:00,27.2,0,Clear,22.4,32,NNE,1009.68,0.1,86.13,29,30.3,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 20:00,26.6,0,Cloudy,22.2,29,NNE,1009.71,0.05,86.17,50,29.3,0,2
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 21:00,25.9,0,Cloudy,22.0,25,NNE,1009.74,0.0,86.2,70,28.4,0,0
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 22:00,25.6,0,Cloudy,21.2,24,NNE,1010.32,0.0,83.83,61,28.0,0,2
Iloilo,Iloilo City,Philippines,122.56,10.7,2022-02-21 23:00,25.2,0,Partly cloudy,20.5,23,NNE,1010.9,0.0,81.47,52,27.6,0,1
