name,region,country,longitude,latitude,time,temp_c,is_day,condition,wind_kph,wind_degree,wind_dir,air_pressure,precipitation,relative_humidity,cloud,feelslike_c,will_it_rain,chance_of_rain
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 00:00,25.6,0,Clear,15.5,81,E,1015.52,0.1,70.0,25,27.4,0,0
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 01:00,25.5,0,Clear,14.6,81,E,1015.45,0.11,67.2,32,27.2,0,0
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 02:00,25.3,0,Partly cloudy,13.8,81,E,1015.37,0.13,64.4,40,27.1,0,1
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 03:00,25.2,0,Partly cloudy,13.0,81,E,1015.3,0.14,61.6,48,26.9,0,0
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 04:00,25.2,0,Partly cloudy,13.2,81,E,1014.42,0.1,59.9,46,26.9,0,1
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 05:00,25.3,0,Partly cloudy,13.4,80,E,1013.54,0.05,58.2,44,27.0,0,1
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 06:00,25.3,0,Partly cloudy,13.7,79,E,1012.67,0.01,56.5,43,27.0,0,0
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 07:00,26.1,1,Partly cloudy,14.9,78,ENE,1012.61,0.01,57.5,48,27.8,0,1
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 08:00,26.8,1,Partly cloudy,16.1,77,ENE,1012.55,0.0,58.5,53,28.5,0,1
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 09:00,27.6,1,Partly cloudy,17.3,76,ENE,1012.49,0.0,59.5,59,29.3,0,0
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 10:00,28.7,1,Partly cloudy,18.0,75,ENE,1013.01,0.0,62.53,66,30.7,0,1
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 11:00,29.7,1,Cloudy,18.7,74,ENE,1013.53,0.0,65.57,73,32.1,0,2
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 12:00,30.8,1,Cloudy,19.4,73,ENE,1014.04,0.0,68.6,79,33.5,0,0
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 13:00,30.8,1,Cloudy,20.4,75,ENE,1014.2,0.0,69.6,63,33.5,0,2
Makati,Makati City,Philippines,121.03,14.57,2022-02-26 14:00,30.9,1,Partly cloudy,21.4,77,ENE,1014.36,0.0,70.6,47,33.6,0,1
